id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
252236,6576,01A,1176.0,50.0,GRAVEL-F,0,0,5,62.940214,-152.272933,2034.0,70,,23,62.941297,-152.266286,2041.0,250,
345167,345166,01OL,1600.0,75.0,Turf,0,0,5,34.360721588134766,-96.7364730834961,1058.0,50,,23,34.3930549621582,-96.68888854980467,1043.0,230,
240582,6756,04CA,8000.0,150.0,ASP,0,0,8,34.5666,-117.683,,90,,26,34.5667,-117.6575,,270,
248135,6798,04V,7745.0,55.0,GRVL-G,0,0,10,38.10409927368164,-106.18599700927734,,118,,28,38.09410095214844,-106.16300201416016,,298,
253744,6802,04W,2751.0,75.0,ASPH-G,1,0,06,46.02130126953125,-92.9001007080078,1021.0,66,190.0,24,46.02439880371094,-92.89019775390624,1009.0,246,394.0
537371,537370,05NR,1235.0,75.0,Turf,0,0,16,,,,160,,34,,,,340,
255388,6854,05V,6160.0,52.0,DIRT-G,0,0,03,37.40480041503906,-105.55999755859376,7696.0,41,,21,37.41749954223633,-105.5459976196289,7720.0,221,
245598,6868,06FA,7003.0,150.0,ASPH,1,0,09,26.908100128173828,-80.33920288085938,28.0,90,241.0,27,26.90819931030273,-80.31770324707031,28.0,270,241.0
247424,6889,06N,2811.0,60.0,ASPH-G,1,0,08,41.4301986694336,-74.39610290527344,503.0,62,563.0,26,41.43370056152344,-74.38700103759766,521.0,242,
355065,355064,07IA,1600.0,60.0,Turf,0,0,18,40.650081,-95.021511,971.0,177,,36,40.645694,-95.021189,969.0,357,
243729,6943,07MT,13500.0,300.0,CONC-G,1,0,10,48.430301666259766,-106.552001953125,2757.0,120,,28,48.41180038452149,-106.50399780273438,2748.0,300,
523548,523547,08AN,1300.0,50.0,GVL,0,0,7,,,892.0,90,,25,,,871.0,270,
255100,7099,0B2,1730.0,30.0,TURF-F,0,0,01,44.76150131225586,-68.76709747314453,,348,,19,44.76620101928711,-68.76850128173828,,168,
257597,7101,0C1,2375.0,35.0,ASPH-TRTD-P,1,0,02,39.48469924926758,-94.78179931640624,,19,,20,39.49089813232422,-94.7791976928711,,199,
248718,7180,0G0,2830.0,50.0,ASPH-F,1,0,10,43.10329818725586,-78.70860290527344,588.0,91,,28,43.10309982299805,-78.6980972290039,588.0,271,355.0
254904,7200,0I2,2941.0,40.0,ASPH-G,1,0,09,39.47679901123047,-87.10489654541016,645.0,91,620.0,27,39.47669982910156,-87.09449768066406,631.0,271,442.0
347760,7327,0MI8,1600.0,100.0,Torf,0,0,17,44.8945541381836,-84.30105590820312,1276.0,170,,35,44.890567779541016,-84.2999496459961,1273.0,350,
347758,7327,0MI8,2800.0,100.0,Turf,0,0,4,44.89099884033203,-84.30110168457031,1275.0,36,,22,44.89720153808594,-84.2947998046875,1276.0,216,
240020,7349,0MS0,3200.0,100.0,ASPH,0,0,04,32.47159957885742,-88.62000274658203,,40,,22,32.47840118408203,-88.61329650878906,,310,380.0
257003,7437,0O4,2702.0,50.0,ASPH-F,1,0,16,39.94729995727539,-122.1709976196289,293.0,180,,34,39.93989944458008,-122.1709976196289,293.0,360,
240089,7545,0TE7,6291.0,60.0,ASPH,0,0,17,30.260400772094727,-98.62339782714844,1515.0,175,,35,30.243200302124023,-98.62169647216795,1433.0,355,
252747,7630,0XA4,5000.0,75.0,ASPH-G,0,0,15,28.00320053100586,-98.8853988647461,,156,,33,27.990699768066406,-98.87899780273438,,336,
240596,7750,12A,3133.0,40.0,ASPH-G,1,0,18,35.18280029296875,-92.33509826660156,,181,,36,35.17399978637695,-92.33570098876952,,1,
351350,321472,12WV,1292.0,40.0,Turf,0,0,18,38.34577941894531,-82.11255645751953,603.0,169,,36,38.34228897094727,-82.11170959472656,603.0,349,
351351,321472,12WV,1053.0,40.0,Turf,0,0,6,30.342283248901367,-82.1125259399414,,45,,24,30.344314575195312,-82.11170959472656,603.0,225,
254805,7912,14S,2318.0,50.0,ASPH-G,1,0,12,46.89929962158203,-124.10399627685548,6.0,137,,30,46.89459991455078,-124.0979995727539,8.0,317,
240552,7949,15MN,2500.0,120.0,TURF,0,0,05,45.2599983215332,-94.51439666748048,,50,,23,45.26440048217773,-94.50689697265624,,272,
251184,7977,16A,2420.0,75.0,GRVL-G,1,0,18,60.90919876098633,-162.43899536132812,11.0,196,,36,60.90280151367188,-162.44200134277344,12.0,16,
244298,8038,17FL,7550.0,210.0,ASPH,1,0,18,29.290599822998047,-82.12480163574219,,180,1800.0,36,29.269899368286133,-82.12480163574219,,255,1945.0
241659,8118,18TE,5093.0,40.0,ASPH-G,1,0,08,32.58530044555664,-95.07219696044922,359.0,91,,26,32.58509826660156,-95.05570220947266,349.0,271,2879.0
